Transition, Time (secs), Satisfiable
transition__S03__a__S04__mediante_met_revokeAccessFromThirdParty,0.005,false
transition__S03__a__S05__mediante_met_revokeAccessFromThirdParty,0.006,false
transition__S03__a__S06__mediante_met_revokeAccessFromThirdParty,0.0,false
transition__S04__a__S01__mediante_met_revokeAccessFromThirdParty,0.01,false
transition__S04__a__S02__mediante_met_revokeAccessFromThirdParty,0.005,false
transition__S04__a__S03__mediante_met_revokeAccessFromThirdParty,0.007,false
transition__S04__a__S04__mediante_met_revokeAccessFromThirdParty,0.008,false
transition__S04__a__S05__mediante_met_revokeAccessFromThirdParty,0.0,false
transition__S04__a__S06__mediante_met_revokeAccessFromThirdParty,0.0,false
transition__S05__a__S01__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S05__a__S02__mediante_met_revokeAccessFromThirdParty,0.0,false
transition__S05__a__S03__mediante_met_revokeAccessFromThirdParty,0.018,true
transition__S05__a__S04__mediante_met_revokeAccessFromThirdParty,0.004,false
transition__S05__a__S05__mediante_met_revokeAccessFromThirdParty,0.01,false
transition__S05__a__S06__mediante_met_revokeAccessFromThirdParty,0.0,false
transition__S03__a__S01__mediante_met_terminate,0.012,false
transition__S03__a__S02__mediante_met_terminate,0.005,false
transition__S03__a__S03__mediante_met_terminate,0.006,false
transition__S03__a__S04__mediante_met_terminate,0.002,false
transition__S03__a__S05__mediante_met_terminate,0.0,false
transition__S03__a__S06__mediante_met_terminate,0.018,true
transition__S04__a__S01__mediante_met_terminate,0.0,false
transition__S04__a__S02__mediante_met_terminate,0.0,false
transition__S04__a__S03__mediante_met_terminate,0.016,false
transition__S04__a__S04__mediante_met_terminate,0.0,false
transition__S04__a__S05__mediante_met_terminate,0.0,false
transition__S04__a__S06__mediante_met_terminate,0.022,true
transition__S05__a__S01__mediante_met_terminate,0.003,false
transition__S05__a__S02__mediante_met_terminate,0.0,false
transition__S05__a__S03__mediante_met_terminate,0.011,false
transition__S05__a__S04__mediante_met_terminate,0.008,false
transition__S05__a__S05__mediante_met_terminate,0.006,false
transition__S05__a__S06__mediante_met_terminate,0.009,true

