Transition, Time (secs), Satisfiable
transition__S07__a__S09__mediante_met_acceptOffer,0.018,false
transition__S01__a__S10__mediante_met_reject,0.016,false
transition__S07__a__S10__mediante_met_acceptOffer,0.019,false
transition__S02__a__S01__mediante_met_reject,0.022,false
transition__S08__a__S01__mediante_met_acceptOffer,0.013,false
transition__S02__a__S02__mediante_met_reject,0.02,false
transition__S08__a__S02__mediante_met_acceptOffer,0.013,false
transition__S02__a__S03__mediante_met_reject,0.009,false
transition__S08__a__S03__mediante_met_acceptOffer,0.014,false
transition__S02__a__S04__mediante_met_reject,0.014,false
transition__S08__a__S04__mediante_met_acceptOffer,0.014,false
transition__S02__a__S05__mediante_met_reject,0.013,false
transition__S08__a__S05__mediante_met_acceptOffer,0.014,false
transition__S02__a__S06__mediante_met_reject,0.013,false
transition__S08__a__S06__mediante_met_acceptOffer,0.011,false
transition__S02__a__S07__mediante_met_reject,0.011,false
transition__S08__a__S07__mediante_met_acceptOffer,0.011,false
transition__S02__a__S08__mediante_met_reject,0.01,false
transition__S08__a__S08__mediante_met_acceptOffer,0.012,false
transition__S02__a__S09__mediante_met_reject,0.011,false
transition__S08__a__S09__mediante_met_acceptOffer,0.012,false
transition__S02__a__S10__mediante_met_reject,0.013,false
transition__S08__a__S10__mediante_met_acceptOffer,0.012,false
transition__S03__a__S01__mediante_met_reject,0.01,false
transition__S09__a__S01__mediante_met_acceptOffer,0.011,false
transition__S03__a__S02__mediante_met_reject,0.011,false
transition__S09__a__S02__mediante_met_acceptOffer,0.011,false
transition__S03__a__S03__mediante_met_reject,0.011,false
transition__S09__a__S03__mediante_met_acceptOffer,0.011,false
transition__S03__a__S04__mediante_met_reject,0.011,false
transition__S03__a__S05__mediante_met_reject,0.011,false
transition__S09__a__S04__mediante_met_acceptOffer,0.014,false
transition__S09__a__S05__mediante_met_acceptOffer,0.011,false
transition__S03__a__S06__mediante_met_reject,0.013,false
transition__S09__a__S06__mediante_met_acceptOffer,0.015,false
transition__S03__a__S07__mediante_met_reject,0.013,false
transition__S09__a__S07__mediante_met_acceptOffer,0.011,false
transition__S03__a__S08__mediante_met_reject,0.021,false
